RSRP,RSRQ,RSSI,PCC_PHY_Thruput_DL,PDCP_Thruput_DL
-76.69,-8.71,-53.86,13278.35,11486.3
-76.97,-8.74,-54.15,13337.34,11819.57
-76.97,-8.74,-54.15,13337.34,11819.57
-75.52,-8.96,-52.5,12980.81,6418.4
-75.52,-8.96,-52.5,12980.81,6418.4
-75.8,-8.76,-52.96,11838.76,4492.24
-75.8,-8.76,-52.96,11838.76,4492.24
-78.26,-8.26,-55.89,10206.51,3557.51
-78.26,-8.26,-55.89,10206.51,3557.51
-77.55,-8.06,-55.35,7770.5,5306.0
-77.55,-8.06,-55.35,7770.5,5306.0
-77.3,-8.83,-54.33,10631.99,8536.62
-77.3,-8.83,-54.33,10631.99,8536.62
-78.13,-8.74,-55.27,11346.31,9607.56
-78.13,-8.74,-55.27,11346.31,9607.56
-78.3,-8.99,-55.19,10239.97,7303.76
-78.3,-8.99,-55.19,10239.97,7303.76
-78.01,-8.59,-55.27,7972.81,6909.12
-78.01,-8.59,-55.27,7972.81,6909.12
-79.78,-7.94,-57.6,8276.44,7069.26
-79.78,-7.94,-57.6,8276.44,7069.26
-78.79,-7.98,-56.67,8226.74,6461.16
-78.79,-7.98,-56.67,8226.74,6461.16
-75.46,-8.21,-53.13,7961.18,8924.96
-75.46,-8.21,-53.13,7961.18,8924.96
-75.48,-8.35,-52.95,10155.74,7748.08
-75.48,-8.35,-52.95,10155.74,7748.08
-77.07,-8.31,-54.68,9361.37,9103.18
-77.07,-8.31,-54.68,9361.37,9103.18
-74.81,-7.9,-52.52,10700.85,10060.48
-74.81,-7.9,-52.52,10700.85,10060.48
-73.96,-8.18,-51.6,10953.21,8895.88
-73.96,-8.18,-51.6,10953.21,8895.88
-73.21,-8.67,-50.42,10803.13,8231.4
-73.21,-8.67,-50.42,10803.13,8231.4
-74.13,-8.8,-51.22,9181.19,7438.7
-74.13,-8.8,-51.22,9181.19,7438.7
-73.74,-8.2,-51.27,9126.64,7754.91
-73.74,-8.2,-51.27,9126.64,7754.91
-72.52,-8.81,-49.66,9896.59,10169.61
-72.52,-8.81,-49.66,9896.59,10169.61
-73.82,-8.65,-51.03,10148.11,8632.01
-73.82,-8.65,-51.03,10148.11,8632.01
-72.97,-8.75,-50.07,9129.0,8676.01
-72.97,-8.75,-50.07,9129.0,8676.01
-75.76,-8.58,-52.86,10551.97,7849.83
-75.76,-8.58,-52.86,10551.97,7849.83
-80.02,-9.02,-56.9,7982.03,5230.29
-80.02,-9.02,-56.9,7982.03,5230.29
-80.22,-8.07,-58.04,5029.13,4767.81
-80.22,-8.07,-58.04,5029.13,4767.81
-80.7,-8.98,-57.57,6481.85,4938.15
-80.7,-8.98,-57.57,6481.85,4938.15
-81.59,-8.41,-59.09,5137.87,4092.69
-81.59,-8.41,-59.09,5137.87,4092.69
-81.44,-9.95,-57.43,4338.14,3162.69
-81.44,-9.95,-57.43,4338.14,3162.69
-76.88,-8.38,-54.34,3443.0,2100.89
-76.88,-8.38,-54.34,3443.0,2100.89
